coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
850375,"J.E. Bowers",1983-03-14,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:26419904-c886-42e7-8e18-9cb49a784722,"2012-09-06 15:37:14"
850412,"Steven P. McLaughlin",2001-01-22,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:1a6beae3-1659-405a-a10d-010599150f44,"2012-09-06 15:37:14"
850416,"Patricia P. Guertin",2001-02-22,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:ba6151e1-c3a5-42cd-85ec-0b8d5e2351b5,"2012-09-06 15:37:14"
850418,"Steven P. McLaughlin",2001-04-02,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:50221009-4fd5-4e32-b877-a02896f20d16,"2012-09-06 15:37:14"
850419,"Patricia A. West",2001-04-04,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:bf207225-cd9d-4365-b563-af785f6ac5f1,"2012-09-06 15:37:14"
850427,"K. Mauz",2004-04-08,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:a9eafe13-6c71-4282-9b36-7600319a01ae,"2012-09-06 15:37:14"
850428,"Steven P. McLaughlin",2003-03-29,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:1a641571-8b03-4431-830c-f425a46a9f90,"2012-09-06 15:37:14"
850433,"Jennifer Katcher",2005-02-23,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:ebfdc6c2-7b4b-4306-a795-e8240275b21f,"2012-09-06 15:37:14"
921348,"Erin Zylstra",2006-04-02,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:19e87054-e616-4ddc-8d73-b6c4220d9abb,"2012-09-06 15:37:14"
953517,"Joan Tedford",2007-03-03,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:9ef72794-7c94-4257-8529-de448e195d76,"2012-09-06 15:37:14"
953853,"Joan Tedford",2008-03-27,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:58131f35-136d-4884-a5a6-fb22a730a8e6,"2012-09-06 15:37:14"
3244538,"B Fink",1970-04-08,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:b203d9dd-c88a-4ae9-8ad5-8e5ceab5a2a0,"2012-09-06 15:37:14"
3244538,unknown,1970-04-08,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:25ea852c-a6ad-4bf3-9e0d-ea389857b2b0,"2023-07-16 05:07:11"
3244824,BF,1969-02-25,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:1c4c5b40-a0df-40af-97db-616b6bfacb2d,"2012-09-06 15:37:14"
3244824,unknown,1969-02-25,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:9be5458c-02d5-4d6c-a3d8-1af82176d113,"2023-07-16 05:07:11"
3244837,"B. Fink",1969-03-11,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:df8887d6-ff2a-44b9-9379-0aec63a36010,"2012-09-06 15:37:14"
3244837,unknown,1969-03-11,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:f91437bb-bfbd-46b1-b601-c9f5fbb41911,"2023-07-16 05:07:11"
3830903,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:518a93d4-eb03-4426-bc96-29d1964a3a53,"2023-07-16 05:07:11"
3830912,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:4bde03b2-ba20-4995-9ea2-03735bd3a127,"2023-07-16 05:07:11"
4559887,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:c573c0ce-172b-4d47-b918-f016b279dd9c,"2023-07-16 05:07:11"
5563857,"R.M. Turner",1969-03-07,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:28b529b1-a737-4b6f-b29f-0e0fcc9c759f,"2012-09-06 15:37:14"
5563858,"J.J. Thornber",1913-03-26,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:7745b1e0-4fab-468f-970a-85dcd3293a62,"2012-09-06 15:37:14"
5563861,"J. E. Bowers, 1984",1978-05-21,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:264dcac1-4c82-4110-aca4-ddd7c8946377,"2023-07-16 05:07:11"
5563861,"J. E. Bowers, 1984",s.d.,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:e4ffa28a-21f8-4ba8-9201-dc462cdb7ebc,"2012-09-06 15:37:14"
5563862,"F. Shreve",1935-04-19,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:07db6c6c-4ffb-4922-9a2b-c85d1de8a47c,"2012-09-06 15:37:14"
5563866,"T. R. Van Devender",1988-02-26,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:676b4d24-aad8-472d-9a84-affd2ca823ac,"2012-09-06 15:37:14"
5563867,"S.P. McLaughlin",1974-03-13,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:719e95ca-4850-4e47-bfb8-370101a660f7,"2012-09-06 15:37:14"
5563872,"J.J. Thornber",1913-04-05,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:499fd117-6c74-4e99-afb5-a105ef7e55fa,"2012-09-06 15:37:14"
5563874,"J.J. Thornber",1905-05-06,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:9fedc7bb-ea9a-42c7-9e09-b578cabab8c6,"2012-09-06 15:37:14"
5563879,"F. Shreve",1920-03-03,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:45305e7b-ed26-4659-a234-683f244695ae,"2012-09-06 15:37:14"
5563884,"F.W. Gould",1945-03-11,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:130a92a6-f021-4ae4-90ff-3c9fb683ab61,"2012-09-06 15:37:14"
5563888,"J. E. Bowers, 1984",1978-04-23,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:faa717db-d3bf-4d38-8727-61598c1fd687,"2023-07-16 05:07:11"
5563888,"J. E. Bowers, 1984",s.d.,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:0ab3fae3-7a3d-43cd-9e6f-2245ad89948e,"2012-09-06 15:37:14"
5563891,"L. Benson",1941-03-11,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:0b7fae86-96ad-4492-a784-0f46c0e236c0,"2012-09-06 15:37:14"
5563892,"T. R. Van Devender",1988-02-25,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:5e66fffa-ea3b-4b42-83a4-19b5989bf3b2,"2012-09-06 15:37:14"
5563897,"K. Reichhardt",1985-03-13,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:770c1dbf-b3eb-4a6e-b958-25165d0f8aaf,"2012-09-06 15:37:14"
